date,ticker,bench,close,ma,stop,rs_diff,rs_rank,strength
2025-03-18,ADN1.DE,^GDAXI,100.6113,80.4112,80.4737,2.82,54.0,0
2025-03-18,IOS.DE,^GDAXI,25.45,24.0147,22.7176,-0.32,48.0,0
2025-03-24,GE,SPY,208.8628,177.1113,191.0351,27.99,90.0,0
2025-03-24,JBL,SPY,149.6703,128.8362,132.183,6.18,56.0,0
2025-03-24,APH,SPY,68.7092,66.7706,61.1428,1.05,43.0,0
2025-03-25,ANGO,SPY,10.18,8.106,8.8644,21.16,84.0,0
2025-03-25,TSLA,SPY,288.14,285.2533,224.2248,-33.66,7.0,0
2025-03-31,TIMA.DE,^GDAXI,40.4607,36.946,37.1071,-20.4,17.0,0
2025-04-09,RTX,SPY,125.3576,116.3539,106.3772,14.98,81.0,0
2025-04-09,FTNT,SPY,99.93,85.4381,78.4201,11.85,72.0,0
2025-04-09,DBX,SPY,27.77,26.5651,25.1038,-0.86,52.0,0
2025-04-09,JBL,SPY,137.1055,129.7587,100.4179,-5.11,40.0,0
2025-04-09,AVGO,SPY,183.3717,180.9279,130.3993,-12.22,21.0,0
2025-04-11,ESLT,SPY,402.9323,251.038,357.4341,47.56,96.0,0
2025-04-11,B,SPY,20.0242,17.6103,17.1173,40.38,94.0,0
2025-04-11,NOC,SPY,523.2419,476.9514,463.3035,23.22,88.0,0
2025-04-11,CERT,SPY,12.91,12.0046,9.2751,17.6,80.0,0
2025-04-14,HBH.DE,^GDAXI,85.5053,75.9242,75.9399,22.89,86.0,0
2025-04-15,PLTR,SPY,98.4,59.6571,72.0516,46.87,96.0,0
2025-04-15,LRN,SPY,137.61,100.6508,118.2008,30.31,91.0,0
2025-04-15,MLB1.DE,^GDAXI,1863.0,1805.385,1602.8551,4.2,56.0,0
2025-04-15,NEM.DE,^GDAXI,107.3515,98.6876,91.7894,-1.1,48.0,0
2025-04-17,UBER,SPY,75.24,71.2565,64.1917,23.88,85.0,0
2025-04-22,KO,SPY,71.3574,64.1602,66.1094,33.24,93.0,0
2025-04-23,APH,SPY,70.5434,66.5779,61.9697,16.1,80.0,0
